id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
76,0,1,1,https://0g.haodf.com,0g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,443,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
80,0,1,1,http://0g.haodf.com,0g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,80,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
59,0,0,1,https://1g.haodf.com,1g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='1g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E579FC8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
60,0,0,1,http://1g.haodf.com,1g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='1g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E579C08>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
71,0,0,1,https://2g.haodf.com,2g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='2g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E468388>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
72,0,0,1,http://2g.haodf.com,2g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='2g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E5B23C8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
18,0,1,1,http://3g.haodf.com,3g.haodf.com,1,1951668.p23.tc.cdntip.com,116.177.248.103,1,1,80,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
20,0,1,1,https://3g.haodf.com,3g.haodf.com,1,1951668.p23.tc.cdntip.com,116.177.248.103,1,1,443,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
67,0,0,1,https://4g.haodf.com,4g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='4g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E562F48>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
68,0,0,1,http://4g.haodf.com,4g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='4g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8F838FC8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
61,0,0,1,https://5g.haodf.com,5g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='5g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8F642248>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
62,0,0,1,http://5g.haodf.com,5g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='5g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8F8B1A08>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
65,0,0,1,https://6g.haodf.com,6g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='6g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E562488>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
66,0,0,1,http://6g.haodf.com,6g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='6g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E562C88>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
16,1,1,1,http://callcenter.haodf.com,callcenter.haodf.com,1,1951676.p23.tc.cdntip.com,116.177.248.103,1,1,80,200,OK,400呼叫中心-好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
